ward_name,forecast,tier,officers_per_shift,month_num
Merton Park Ward,3.8735204,Very Low,1,1
Sutton West & East Cheam Ward,3.8569443,Very Low,1,1
Hillingdon West Ward,3.813782,Very Low,1,1
Bensham Manor Ward,3.8028398,Very Low,1,1
Markhouse Ward,3.7861214,Very Low,1,1
Coombe Hill Ward,3.7693431,Very Low,1,1
Coulsdon Town Ward,3.7626455,Very Low,1,1
Stonecot Ward,3.7492712,Very Low,1,1
Endlebury Ward,3.7351432,Very Low,1,1
Bowes Ward,3.7123218,Very Low,1,1
Dulwich Hill Ward,3.7062886,Very Low,1,1
Longbridge Ward,3.7055774,Very Low,1,1
Longthornton Ward,3.6931386,Very Low,1,1
Middle Park & Horn Park Ward,3.6715968,Very Low,1,1
Whitton Ward,3.665783,Very Low,1,1
Seven Kings Ward,3.6624734,Very Low,1,1
Colindale North Ward,3.654897,Very Low,1,1
Eastbrook & Rush Green Ward,3.6339529,Very Low,1,1
St. Helier Ward,3.6274924,Very Low,1,1
Beam Ward,3.614359,Very Low,1,1
Thamesmead Moorings Ward,3.6120994,Very Low,1,1
Champion Hill Ward,3.6074438,Very Low,1,1
Clementswood Ward,3.5987978,Very Low,1,1
Centenary Ward,3.5813775,Very Low,1,1
Plaistow Ward,3.580832,Very Low,1,1
Upper Walthamstow Ward,3.577468,Very Low,1,1
West Twickenham Ward,3.5488694,Very Low,1,1
Northwood Hills Ward,3.5463467,Very Low,1,1
Wormholt Ward,3.5392435,Very Low,1,1
Oakwood Ward,3.5377312,Very Low,1,1
West Barnes Ward,3.5281584,Very Low,1,1
Wendell Park Ward,3.5258687,Very Low,1,1
Sudbury Ward,3.5128548,Very Low,1,1
