ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
East Finchley,9,5.878144,5.0,7.666143034952357,1.7879990349523576,26.402261416023613
East Finchley,9,5.878144,5.0,8.0963157634702,2.2181717634702,31.74608251073276
East Finchley,10,6.715945,5.0,8.471035664507927,1.755090664507927,23.113095397686063
East Finchley,10,6.715945,5.0,8.13616986393002,1.4202248639300201,19.124883923153476
East Finchley,11,6.8211064,5.0,7.844471038470267,1.0233646384702677,13.956008793568683
East Finchley,11,6.8211064,5.0,8.105145639538174,1.2840392395381741,17.205112658380422
East Finchley,12,6.793972,11.0,8.332217125570706,1.5382451255707057,20.338832376098143
East Finchley,12,6.793972,11.0,8.129296291240523,1.3353242912405232,17.895869258402534
East Greenwich,1,8.829964,15.0,3.114864864864865,5.7150991351351355,95.69160345102678
East Greenwich,1,8.829964,15.0,3.114864864864865,5.7150991351351355,95.69160345102678
East Greenwich,2,8.710504,17.0,3.114864864864865,5.595639135135135,94.63787893772529
East Greenwich,2,8.710504,17.0,3.114864864864865,5.595639135135135,94.63787893772529
East Greenwich,3,8.72701,14.0,3.114864864864865,5.612145135135135,94.78473973384921
East Greenwich,3,8.72701,14.0,3.114864864864865,5.612145135135135,94.78473973384921
East Greenwich,4,8.855909,10.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,4,8.855909,10.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,5,8.855909,3.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,5,8.855909,3.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,6,8.855909,3.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,6,8.855909,3.0,3.114864864864865,5.741044135135136,95.91767750263061
East Greenwich,7,8.910285,5.0,3.114864864864865,5.795420135135135,96.38832281114797
East Greenwich,7,8.910285,5.0,3.114864864864865,5.795420135135135,96.38832281114797
East Greenwich,8,8.8978195,5.0,3.114864864864865,5.782954635135136,96.28080551336771
East Greenwich,8,8.8978195,5.0,3.114864864864865,5.782954635135136,96.28080551336771
East Greenwich,9,8.8978195,5.0,3.114864864864865,5.782954635135136,96.28080551336771
East Greenwich,9,8.8978195,5.0,3.114864864864865,5.782954635135136,96.28080551336771
East Greenwich,10,8.607767,3.0,3.114864864864865,5.492902135135136,93.71448661794953
East Greenwich,10,8.607767,3.0,3.114864864864865,5.492902135135136,93.71448661794953
East Greenwich,11,8.481728,8.0,3.114864864864865,5.3668631351351355,92.55930940536086
East Greenwich,11,8.481728,8.0,3.114864864864865,5.3668631351351355,92.55930940536086
East Greenwich,12,8.454593,7.0,3.114864864864865,5.339728135135134,92.30731806978243
East Greenwich,12,8.454593,7.0,3.114864864864865,5.339728135135134,92.30731806978243
East Ham South,1,7.1355796,6.0,4.458776216604443,2.6768033833955567,46.17424936298864
East Ham South,1,7.1355796,6.0,3.463790158133908,3.6717894418660917,69.28316542685715
East Ham South,2,6.371036,5.0,4.375860681624835,1.995175318375165,37.130259599248554
East Ham South,2,6.371036,5.0,3.380874656598228,2.990161343401772,61.324625474877635
East Ham South,3,6.3875427,3.0,4.292945174578044,2.094597525421956,39.2228810147815
East Ham South,3,6.3875427,3.0,3.297959155062548,3.089583544937452,63.798109611068774
East Ham South,4,5.8690042,8.0,5.651928308370762,0.21707589162923835,3.7683736359277784
East Ham South,4,5.8690042,8.0,4.210029672134207,1.6589745278657926,32.919316452589904
East Ham South,5,5.8690042,3.0,5.195745402981224,0.673258797018776,12.169435751847054
East Ham South,5,5.8690042,3.0,4.127114170448874,1.7418900295511257,34.85132858571595
East Ham South,6,5.8690042,6.0,5.05132043230203,0.8176837676979698,14.975447987677637
East Ham South,6,5.8690042,6.0,4.044198668888534,1.8248055311114664,36.81565998893077
East Ham South,7,5.9009104,3.0,4.958268994021662,0.9426414059783381,17.361190413656733
East Ham South,7,5.9009104,3.0,3.96128316734879,1.93962723265121,39.33460075399091
East Ham South,8,5.9959097,8.0,4.873683225856747,1.122226474143253,20.648914486460377
East Ham South,8,5.9959097,8.0,3.87836766581244,2.11754203418756,42.89006589017022
East Ham South,9,5.9959097,3.0,4.7904924867497405,1.2054172132502599,22.35068176358233
East Ham South,9,5.9959097,3.0,3.7954521642766497,2.2004575357233507,44.946914764770824
East Ham South,10,6.376963,8.0,4.707531629748446,1.6694313702515542,30.121921224467062
East Ham South,10,6.376963,8.0,3.712536662740952,2.664426337259048,52.81582687590317
East Ham South,11,6.440508,6.0,4.624608654239458,1.815899345760542,32.82205515772495
East Ham South,11,6.440508,6.0,3.629621161205269,2.8108868387947314,55.82623209290204
East Ham South,12,6.4133735,7.0,4.541691921093073,1.8716815789069265,34.17015794909191
East Ham South,12,6.4133735,7.0,3.546705659669588,2.8666678403304116,57.56315375359947
East Ham,1,8.209741,12.0,6.703096711686881,1.506644288313118,20.2060039469536
East Ham,1,8.209741,12.0,6.692294734953943,1.5174462650460567,20.365623758192484
East Ham,2,7.9481544,12.0,6.700032146532748,1.248122253467252,17.0413211151067
East Ham,2,7.9481544,12.0,6.692233256401203,1.2559211435987967,17.156938369042045
East Ham,3,7.964661,6.0,6.697819569378683,1.2668414306213176,17.28004241338271
East Ham,3,7.964661,6.0,6.692188869666246,1.272472130333754,17.363514556661414
East Ham,4,7.6607,8.0,6.898867705984621,0.7618322940153792,10.465040025910008
East Ham,4,7.6607,8.0,6.696222116749526,0.9644778832504741,13.435719375049954
East Ham,5,7.6607,18.0,6.841376320216772,0.8193236797832286,11.299398261213696
East Ham,5,7.6607,18.0,6.695068776221848,0.9656312237781526,13.452866771963814
East Ham,6,7.6607,17.0,6.7998682692184325,0.8608317307815678,11.905918422500477
East Ham,6,7.6607,17.0,6.69423607899596,0.9664639210040402,13.465248687775953
East Ham,7,7.692606,13.0,6.769899983106182,0.9227060168938177,12.759974211545927
East Ham,7,7.692606,13.0,6.693634882165223,0.9989711178347767,13.887868638056963
East Ham,8,7.8110776,17.0,6.748263260810026,1.0628143391899743,14.599759004898294
East Ham,8,7.8110776,17.0,6.693200825682204,1.1178767743177955,15.414441746214843
East Ham,9,7.841949,9.0,6.73264182186729,1.1093071781327097,15.222481257838643
East Ham,9,7.841949,9.0,6.692887442409341,1.1490615575906586,15.811138462321583
East Ham,10,8.043633,8.0,6.721363341175924,1.3222696588240757,17.910870118356787
East Ham,10,8.043633,8.0,6.692661183662952,1.350971816337048,18.33529922108601
East Ham,11,8.200634,12.0,6.713220421232903,1.4874135787670975,19.946735924275373
East Ham,11,8.200634,12.0,6.692497827719127,1.5081361722808735,20.252774093813194
East Ham,12,8.173499,8.0,6.707341336362081,1.4661576636379188,19.705307368365332
East Ham,12,8.173499,8.0,6.692379886800559,1.4811191131994406,19.926425130700196
East Putney,1,8.086884,7.0,13.130645441439386,5.043761441439386,47.54334339782795
East Putney,1,8.086884,7.0,13.261315726033342,5.174431726033342,48.47651598203208
East Putney,2,7.6232967,4.0,13.338369839046663,5.715073139046663,54.5288050298942
East Putney,2,7.6232967,4.0,13.261474123830048,5.638177423830048,53.99319409717195
East Putney,3,7.6398034,7.0,13.2168162197169,5.5770128197169,53.47954674730363
East Putney,3,7.6398034,7.0,13.261392865790365,5.621589465790365,53.79203557828309
East Putney,4,7.0303445,2.0,11.113613514353078,4.083269014353078,45.00968323585119
East Putney,4,7.0303445,2.0,13.286937740568334,6.256593240568334,61.58887952125352
East Putney,5,7.0303445,9.0,12.124336240622592,5.093991740622592,53.1879576548559
