ward,mae,rmse,smape,mase
Carshalton South & Clockhouse,1.690879969006862,2.0860190441641517,59.755470694876024,0.6340799883775733
Carterhatch,2.6221818894812583,3.2676701352051487,43.56953692457869,1.0150381507669386
Castle,0.08333333333333333,0.28867513459481287,16.6666665,0.5
Catford South,2.314651677220113,2.8125698505918426,33.647153941706556,0.6038221766661164
Cathall,3.324073112249037,4.220833661071934,79.44052057276835,0.8486995180210307
Cazenove,2.322361367957138,2.7314365286285223,50.15749629965045,0.7962381832995902
Centenary,2.0842850970976827,2.7760784186118617,58.50526511848388,0.8068200375861997
Central,0.14020270270173887,0.3469053419731835,199.00653594803055,0.5608108108069555
Central Greenford,2.5560048511671014,3.4449243897099295,57.527180258225826,1.1796945466925084
Central Harbour,0.0,0.0,0.0,
Chadwell,2.2088610347332693,2.595824386445792,48.15548105146575,0.7573237833371209
Chadwell Heath,1.7585666087156575,2.357389225475302,45.84484285203539,0.5410974180663561
Chalfont St Giles,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Chalkwell,0.0,0.0,0.0,
Chalvey,0.0,0.0,0.0,
Champion Hill,1.3295528379603205,1.6863931329330422,52.58171614082953,0.7977317027761923
Chapel End,3.2671943212575756,3.84291880946076,70.30002706442401,1.188070662275482
Charlton Hornfair,1.444831831110464,1.8092666597889178,54.38710522066679,0.6421474804935395
Charlton Village & Riverside,2.517554860952342,2.925521021876979,77.28491046022377,1.0789520832652892
Charville,1.8439363600902194,2.3793364990885264,66.5558103707187,0.8510475508108706
Chaucer,4.255816519996982,6.1672204292067665,31.1403504506454,0.729568546285197
Cheam,3.1250885700067674,4.250527773864055,66.67718608775037,0.7353149576486512
Chelsea Riverside,2.539369259008012,2.967061483255455,52.112991796607766,0.870640888802747
Chelsfield,1.547948158363137,1.9398578040377212,43.205533286444876,0.977651468439876
Cheshunt North,0.0,0.0,0.0,
Cheshunt South and Theobalds,0.0,0.0,0.0,
Chessington South & Malden Rushett,1.5090984273785324,1.6848739109962099,106.75101629148855,0.9054590564271194
Chigwell with Lambourne,0.15934684553453915,0.21782900691885854,198.10377744703825,1.9121621464144698
Childs Hill,5.032642799308323,6.088214565801876,28.92293057143927,0.6862694726329531
Chingford Green,1.6641475149333225,2.14449419090031,52.47706035164911,0.6656590059733289
"Chipstead, Kingswood & Woodmansterne",0.08108108108108109,0.08108108108108109,199.99997533333638,
Chislehurst,4.626641278483412,5.077340448065764,63.37444022336838,1.156660319620853
Chiswick Gunnersbury,3.3915955599412158,4.143251002750529,35.7223444846026,0.7679084286659356
Chiswick Homefields,3.3574993668167132,4.363328105396163,38.27542348996018,0.6013431701761278
Chiswick Riverside,1.8051140716330154,2.3305176894641306,47.153081738777864,1.0314937552188659
Chorleywood South & Maple Cross,0.0,0.0,0.0,
Church Street,3.6600797158159164,4.962699426411796,38.444839261428804,0.5779073235498816
Churchfields,3.246073013813182,3.774828583775141,46.71538618945448,0.5193716822101091
Churchill,1.4420417290097298,1.443410164233996,199.99999861038404,
Cippenham Manor,0.0,0.0,0.0,
City Centre South,0.0,0.0,0.0,
Clapham Common & Abbeville,3.0836188383898118,3.632008677265544,46.01680484072021,0.7400685212135548
Clapham East,3.867124460432455,4.517358817144642,49.20360473919448,0.814131465354201
Clapham Park,2.8298379129593187,3.499764555770238,50.027652421869576,1.0611892173597446
Clapham Town,3.6666666666666665,4.30603050704229,35.39778728556222,1.0999999999999999
Claygate,0.0,0.0,0.0,
Clayhall,2.0568146362563233,2.538036683794167,43.68915714633168,0.6670750171642129
Cleeve Hill,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Clementswood,2.9862031003121356,3.51083762186926,54.43339825613255,0.7166887440749125
Clerkenwell,2.691114853664177,3.5615133277703985,30.05147537104597,0.6870931541270239
Clissold,4.332134134064535,5.060165905671739,54.52663647527075,1.1552357690838762
Clock House,1.8947221212867469,2.3523631125538005,47.31905029331786,0.568416636386024
Cockfosters,4.274861373351346,4.6907787430961845,62.56338868177874,1.0687153433378365
Coleford,0.0,0.0,0.0,
Colham & Cowley,2.4134429887877147,3.018018084234849,38.562165210580005,0.6735189736151762
Colindale,8.714304487489374,8.729069710379777,195.39684196361824,34.857217949957494
Colindale North,2.089042714163231,2.455138782360282,51.94844528322072,0.8356170856652924
Colindale South,6.844111834784303,7.649798165328839,142.30166836245985,1.6425868403482327
College Park & Old Oak,4.318418832251954,5.200119829054622,63.11871429908348,0.9091408067898851
College Park and Old Oak,2.1050783588922712,2.1275268645239147,193.99329048780302,25.260940306707255
Colliers Wood,3.1243298752670268,3.595369788803766,68.35869340450932,1.013296175762279
Colnbrook & Poyle,0.041666666666666664,0.2041241452319315,8.33333325,0.5
Colville,2.832951328639632,3.2891829195601896,32.991191991483774,0.6180984717031924
Coningham,3.612986372204604,4.288404281513412,41.041349851573685,0.8180346503104763
Coombe Hill,2.7239464265506435,3.0165904260156164,67.4911508098154,1.7203872167688274
Coombe Vale,2.2531338852050395,2.703340307405138,63.4000935686185,0.6287815493595459
Coulsdon Town,1.495569565221291,1.8204840383175744,53.472224471006214,0.9445702517187101
Courtfield,3.5888710464836806,4.222089399086643,46.0888141005219,0.9163075012298759
Cranbrook,2.052298498686443,2.7727022984094445,41.50107500396205,0.8209193994745773
Cranford,2.490944225313411,3.2501543588834876,48.42177767622803,0.6498115370382811
Cranham,1.7132394305126724,2.294831660833111,98.20445601208151,0.9344942348250941
Crayford,3.6073105558420697,3.9974959654155255,68.57652150139847,1.169938558651482
Cricket Green,2.6091738709581374,3.496201490441855,44.582936428229345,0.8462185527431796
Cricklewood,3.0319803121670716,3.6400789854664675,29.03915856149901,0.6166739617966925
Cricklewood & Mapesbury,3.246120161257051,4.28124775727178,29.314661579201328,0.7949682027568289
Cringleford,0.0,0.0,0.0,
