ward,month,forecast
Bedfont,2025-06-01,5.305404055577661
Bedfont,2025-07-01,5.300497548844348
Bedfont,2025-08-01,5.29976004897349
Bedfont,2025-09-01,5.299649194940453
Bedfont,2025-10-01,5.299632532406497
Bedfont,2025-11-01,5.29963002785136
Bedfont,2025-12-01,5.299629651390226
Bedfont,2026-01-01,5.299629594804134
Bedfont,2026-02-01,5.2996295862986464
Bedfont,2026-03-01,5.299629585020182
Bedwell,2025-04-01,0.0
Bedwell,2025-05-01,0.0
Bedwell,2025-06-01,0.0
Bedwell,2025-07-01,0.0
Bedwell,2025-08-01,0.0
Bedwell,2025-09-01,0.0
Bedwell,2025-10-01,0.0
Bedwell,2025-11-01,0.0
Bedwell,2025-12-01,0.0
Bedwell,2026-01-01,0.0
Bedwell,2026-02-01,0.0
Bedwell,2026-03-01,0.0
Bellingham,2025-04-01,5.51649303175359
Bellingham,2025-05-01,5.622576585897431
Bellingham,2025-06-01,5.7130707749810865
Bellingham,2025-07-01,5.790266513038698
Bellingham,2025-08-01,5.8561180559344574
Bellingham,2025-09-01,5.912292474508133
Bellingham,2025-10-01,5.960211857461478
Bellingham,2025-11-01,6.001089312376613
Bellingham,2025-12-01,6.035959676253497
Bellingham,2026-01-01,6.065705713021947
Bellingham,2026-02-01,6.091080461233753
Bellingham,2026-03-01,6.112726297679955
Belmont,2025-04-01,7.280301973333429
Belmont,2025-05-01,7.557477211459501
Belmont,2025-06-01,7.535646636941774
Belmont,2025-07-01,7.513816062424047
Belmont,2025-08-01,7.4919854879063195
Belmont,2025-09-01,7.470154913388592
Belmont,2025-10-01,7.448324338870865
Belmont,2025-11-01,7.426493764353138
Belmont,2025-12-01,7.404663189835411
Belmont,2026-01-01,7.3828326153176835
Belmont,2026-02-01,7.361002040799956
Belmont,2026-03-01,7.339171466282229
Belmore,2025-04-01,8.540326118998715
Belmore,2025-05-01,8.501338425883572
Belmore,2025-06-01,8.46235073276843
Belmore,2025-07-01,8.423363039653287
Belmore,2025-08-01,8.384375346538144
Belmore,2025-09-01,8.345387653423002
Belmore,2025-10-01,8.306399960307859
